"id","geom","id_shp","nm_village","id_village","id_town","area","id_county","nm_county","nm_town","nm_busi_in","nm_busi_to","nm_huan","dis_tam","build_zone","id_countyb","nm_countyb","nm_build_z","id_city","nm_city","dis_county","id_countybz"
6177,"MULTIPOLYGON (((116.44982334501537 39.89761834072675, 116.4497355723231 39.89342124911826, 116.44962725422272 39.89245256535571, 116.44965778865492 39.892182976870686, 116.4492820502984 39.892186749357506, 116.44749995848883 39.89222057805256, 116.44668480608902 39.892236058259925, 116.44636234620623 39.89224433480098, 116.44584836088836 39.892257528576806, 116.44533301830518 39.89227075989669, 116.44393600351748 39.892313307411314, 116.4439322840094 39.892327055661156, 116.44345346113346 39.892328007766764, 116.44089712974494 39.89233031747614, 116.4408958000173 39.89301349805743, 116.44078759694435 39.8930175837055, 116.44070544444764 39.894119563786205, 116.44076385794347 39.89441702522976, 116.4407812717941 39.89481369005432, 116.44078656676663 39.895114200390935, 116.44079347827801 39.895197934958276, 116.44081257096468 39.895044052398646, 116.44202203918258 39.89516434731934, 116.44199403674452 39.895983708672986, 116.44411166640509 39.896225820179836, 116.44703738547832 39.89622908639984, 116.44706821909915 39.89765016228205, 116.44982334501537 39.89761834072675)))",90600.0,富力西社区,90600.0,110105016000,0.580827236553192,110105000,朝阳区,双井街道,双井,"劲松,广渠门",四环内,5101.484808675549,1.0,110105001,朝阳区建成区,建成区,110100000000,北京,2.980378561171519,110105001
211,"MULTIPOLYGON (((116.45541596496143 39.89755374626838, 116.44706821909895 39.89765016228193, 116.44703738547798 39.89622908639968, 116.44411166640502 39.89622582017968, 116.44199403674452 39.8959837086729, 116.44175832528002 39.89796300819013, 116.44283646849735 39.89801867744332, 116.4427910185888 39.89890495756229, 116.4417501223334 39.89894706880783, 116.44168345883836 39.89973501376498, 116.442098008808 39.899733315048, 116.44279265549567 39.89972995521327, 116.44233181764304 39.901846536262866, 116.44232820004842 39.9018631531853, 116.45551155035999 39.90265180079827, 116.45541596496143 39.89755374626838)))",644.0,光环社区,644.0,110105016000,0.648177794464111,110105000,朝阳区,双井街道,"CBD,双井","广渠门,建国门外",四环内,4972.451476149643,1.0,110105001,朝阳区建成区,建成区,110100000000,北京,2.483755281161683,110105001
1212,"MULTIPOLYGON (((116.442179285089 39.88917393395183, 116.44220864747787 39.889172961231814, 116.44221332134671 39.88917303348527, 116.44221676923068 39.889169410414276, 116.44467181149786 39.88920403013326, 116.44467171080022 39.88747411604727, 116.4446327700145 39.88680546524709, 116.44511530518615 39.88673615900295, 116.44511445034757 39.8860254135948, 116.44460875041834 39.88603464521975, 116.4445934877455 39.88585847898112, 116.44458509073621 39.885664169476335, 116.44456973758426 39.8853088958014, 116.4445961366514 39.88474017272337, 116.44469760390949 39.8831891511425, 116.4404396523023 39.88317761990848, 116.4385593396344 39.88316902905704, 116.43826548701983 39.8853037388953, 116.43804693349061 39.88693118132414, 116.43796757307439 39.88746447204329, 116.43779269400866 39.88873122277668, 116.4382579560139 39.888780080161645, 116.43825799977972 39.88878008414676, 116.43909510060949 39.88884935972426, 116.43909926593064 39.88886840356116, 116.4397573696987 39.88893747333204, 116.43978164090699 39.88988657254056, 116.4402466237367 39.88989291535326, 116.44048443136273 39.88989615994268, 116.44052396085861 39.889656625572734, 116.44053022852012 39.88961864269693, 116.44057449182225 39.889609502794144, 116.44060924276927 39.88960232811529, 116.44072914331734 39.889577571255465, 116.44077439185773 39.889560134716056, 116.44084149282641 39.88949720405694, 116.44090328334066 39.889439253607236, 116.44135095305852 39.88940913290099, 116.44199329910023 39.88936540391669, 116.44202157498486 39.88933629191567, 116.442179285089 39.88917393395183), (116.44005078816983 39.88398497873318, 116.44035773741369 39.88387799547455, 116.4418580362156 39.883890269735, 116.44177631169606 39.88456851121264, 116.44142185394269 39.88454462419004, 116.44142232907906 39.8848182572142, 116.44435242526912 39.88478807720963, 116.44430525758084 39.88581631361225, 116.44352419997782 39.886241063247695, 116.44148379096197 39.88617452607821, 116.44146335520045 39.88800666727699, 116.4405525674795 39.888090202598754, 116.43965347662689 39.88810235577541, 116.4400535045194 39.88625780321342, 116.4403016845503 39.88619830776703, 116.44028914248938 39.88563904662097, 116.43963907980569 39.885615183063315, 116.4396268087454 39.885174867609685, 116.44005078816983 39.88398497873318)))",637.0,广和里社区,637.0,110105016000,0.274446675275445,110105000,朝阳区,双井街道,劲松,广渠门,三环内,4859.430144353627,1.0,110105001,朝阳区建成区,建成区,110100000000,北京,3.755816392617789,110105001
3521,"MULTIPOLYGON (((116.47665072644418 39.893462741911435, 116.47148767378644 39.89349405751847, 116.47154246839989 39.89570152541012, 116.4716119711386 39.89910688225763, 116.47667568650559 39.89922923755228, 116.47661966789224 39.897274732423114, 116.47665072644418 39.893462741911435)))",641.0,大望社区,641.0,110105016000,0.352545471326828,110105000,朝阳区,双井街道,大望路,,四环内,7198.526203386679,1.0,110105001,朝阳区建成区,建成区,110100000000,北京,4.185595864027055,110105001
2031,"MULTIPOLYGON (((116.44584836088823 39.8922575285766, 116.44636234620597 39.89224433480063, 116.44668480608875 39.89223605825972, 116.44671524167401 39.891655560666095, 116.44960835722306 39.89163054180611, 116.4495891731538 39.89052846371487, 116.44748046812148 39.890573330689215, 116.44755234218522 39.889340438053104, 116.446329485636 39.889443220818094, 116.44553718352608 39.89007233804705, 116.44547088137816 39.89011324548566, 116.44465139932892 39.89056657613939, 116.44429711551228 39.890625491220554, 116.44418008377502 39.89065820294152, 116.44401763375072 39.89077891008389, 116.44403287215867 39.89193398496219, 116.44403203189042 39.891958347225945, 116.44401504513291 39.89202113674541, 116.44394046514955 39.89229681754036, 116.44393600351727 39.892313307411136, 116.44533301830504 39.89227075989647, 116.44584836088823 39.8922575285766)))",642.0,广泉社区,642.0,110105016000,0.094369553029507,110105000,朝阳区,双井街道,劲松,,三环内,5047.045766987918,1.0,110105001,朝阳区建成区,建成区,110100000000,北京,3.331537916838677,110105001
2116,"MULTIPOLYGON (((116.46114837981827 39.895813637692584, 116.46117271406172 39.89915544068748, 116.46135002271035 39.902980320666586, 116.46556422488811 39.90321744590443, 116.46648742437935 39.90082476932116, 116.46802094607926 39.90015987432702, 116.47162910822362 39.90057099557623, 116.4716119711386 39.89910688225763, 116.47154246839989 39.89570152541012, 116.46876842742915 39.895729488138954, 116.46721403529557 39.895727822435276, 116.46664961878128 39.89572721959183, 116.46114837981827 39.895813637692584)))",640.0,九龙社区,640.0,110105016000,0.967865432794213,110105000,朝阳区,双井街道,"CBD,双井",大望路,四环内,6187.598181156298,1.0,110105001,朝阳区建成区,建成区,110100000000,北京,3.220005292304227,110105001
2661,"MULTIPOLYGON (((116.4521147837091 39.8921827223735, 116.4552987025554 39.89209958353245, 116.45526118806448 39.8903393999113, 116.4495891731538 39.89052846371487, 116.44960835722306 39.89163054180611, 116.44671524167401 39.891655560666095, 116.44668480608875 39.89223605825972, 116.4474999584886 39.89222057805237, 116.44928205029804 39.89218674935724, 116.44997413878791 39.892179800653025, 116.4521147837091 39.8921827223735)))",639.0,广外南社区,639.0,110105016000,0.108659615719795,110105000,朝阳区,双井街道,劲松,双井,四环内,5464.015861979464,1.0,110105001,朝阳区建成区,建成区,110100000000,北京,3.432885100220578,110105001
3135,"MULTIPOLYGON (((116.46663729328964 39.891977134330546, 116.46665142302777 39.894561891215744, 116.46405305160943 39.893924195666045, 116.46077900425973 39.89397184547954, 116.46114837981838 39.8958136376927, 116.46664961878139 39.89572721959189, 116.46721403529557 39.89572782243539, 116.46876842742915 39.89572948813907, 116.4715424684 39.895701525410175, 116.47144873035973 39.891925174025914, 116.46663729328964 39.891977134330546)))",645.0,九龙南社区,645.0,110105016000,0.575663360485077,110105000,朝阳区,双井街道,"大望路,双井",,四环内,6343.206583190578,1.0,110105001,朝阳区建成区,建成区,110100000000,北京,3.686491258094053,110105001
3259,"MULTIPOLYGON (((116.44430525758072 39.885816313612146, 116.444352425269 39.884788077209514, 116.44142232907895 39.884818257214086, 116.44142185394257 39.88454462418993, 116.44177631169605 39.88456851121253, 116.4418580362155 39.883890269734884, 116.44035773741369 39.883877995474435, 116.44005078816973 39.883984978733125, 116.43962680874529 39.88517486760963, 116.4396390798057 39.88561518306326, 116.44028914248926 39.88563904662086, 116.44030168455019 39.886198307766975, 116.4400535045193 39.886257803213304, 116.43965347662677 39.888102355775295, 116.4405525674794 39.88809020259864, 116.44146335520033 39.88800666727688, 116.44148379096185 39.88617452607809, 116.44352419997769 39.88624106324758, 116.44430525758072 39.885816313612146)))",90200.0,和平村一社区,90200.0,110105016000,0.101328841447294,110105000,朝阳区,双井街道,劲松,广渠门,三环内,4899.256316652449,1.0,110105001,朝阳区建成区,建成区,110100000000,北京,3.832009447615284,110105001
6527,"MULTIPOLYGON (((116.46114837981827 39.895813637692584, 116.46075035973308 39.89382901722587, 116.46080623814828 39.892040105829096, 116.45529870255552 39.89209958353257, 116.45540100954508 39.89588735198879, 116.45582728453758 39.895888552925044, 116.45580396782157 39.89556900990664, 116.45628638590858 39.895529052294535, 116.45628665620029 39.895886616543294, 116.4567379940006 39.895869736368695, 116.4567146532537 39.89550430924106, 116.45715898816638 39.895502473239276, 116.45718934659135 39.895875829525096, 116.46114837981827 39.895813637692584)))",90602.0,东柏街社区,90602.0,110105016000,0.575663360485077,110105000,朝阳区,双井街道,"大望路,双井",,四环内,6343.206583190578,1.0,110105001,朝阳区建成区,建成区,110100000000,北京,3.686491258094053,110105001
6528,"MULTIPOLYGON (((116.46663729328964 39.891977134330546, 116.46080623814828 39.89204010582915, 116.4607503597332 39.89382901722598, 116.46077900425973 39.89397184547954, 116.46405305160943 39.893924195666045, 116.46665142302777 39.894561891215744, 116.46663729328964 39.891977134330546)))",90603.0,九龙山社区,90603.0,110105016000,0.575663360485077,110105000,朝阳区,双井街道,"大望路,双井",,四环内,6343.206583190578,1.0,110105001,朝阳区建成区,建成区,110100000000,北京,3.686491258094053,110105001
4296,"MULTIPOLYGON (((116.48372764028204 39.89591740442114, 116.47663141649537 39.89583276038627, 116.47661966789224 39.897274732423114, 116.47667568650559 39.89922923755228, 116.4716119711386 39.89910688225763, 116.47162910822362 39.90057099557623, 116.47596702713656 39.901279423531264, 116.47998884192464 39.90142091803165, 116.48377014379696 39.901322872918286, 116.48377914408366 39.897883470106535, 116.48372764028204 39.89591740442114)))",646.0,百子园社区,646.0,110105016000,0.723475216358304,110105000,朝阳区,双井街道,大望路,百子湾,五环内,7625.295635104826,1.0,110105001,朝阳区建成区,建成区,110100000000,北京,4.443230525353132,110105001
4850,"MULTIPOLYGON (((116.45526118806448 39.8903393999113, 116.45516608579604 39.885578957773404, 116.45516145009715 39.885579303355044, 116.45452996425533 39.88562635461591, 116.45454920988118 39.88584414897262, 116.45413985556335 39.88588306869663, 116.45410909331639 39.885100654167076, 116.45362343717838 39.88510570366513, 116.45246748310619 39.8851012181502, 116.45238393140465 39.88590913479835, 116.45192036974206 39.88591721539837, 116.45192706503984 39.885563286397556, 116.44906734034171 39.88556180690426, 116.4490673532947 39.885574697050366, 116.44906824287554 39.88642706433121, 116.4495699138072 39.88641183102702, 116.4495891731538 39.89052846371487, 116.45526118806448 39.8903393999113)))",635.0,垂杨柳东里社区,635.0,110105016000,0.269171580056667,110105000,朝阳区,双井街道,劲松,双井,四环内,5637.267100513695,1.0,110105001,朝阳区建成区,建成区,110100000000,北京,3.807013458683218,110105001
5387,"MULTIPOLYGON (((116.4495891731538 39.89052846371487, 116.4495699138072 39.88641183102702, 116.44906824287554 39.88642706433121, 116.4490673532947 39.885574697050366, 116.44781610530308 39.885579690391985, 116.44643843461371 39.88559188324526, 116.44643096013452 39.88519858029066, 116.44528113304668 39.885284253490575, 116.4450068229005 39.88580443664189, 116.44459997410485 39.88585763074339, 116.44459348774552 39.88585847898108, 116.44460875041821 39.88603464521951, 116.4451144503476 39.886025413594666, 116.44511530518619 39.8867361590027, 116.4446327700144 39.88680546524705, 116.44467171080002 39.887474116047144, 116.44467181149771 39.88920403013313, 116.44465139932892 39.89056657613939, 116.44547088137816 39.89011324548566, 116.44553718352608 39.89007233804705, 116.446329485636 39.889443220818094, 116.44755234218522 39.889340438053104, 116.44748046812148 39.890573330689215, 116.4495891731538 39.89052846371487)))",636.0,垂杨柳西里社区,636.0,110105016000,0.206902373592734,110105000,朝阳区,双井街道,劲松,,三环内,5230.336978492697,1.0,110105001,朝阳区建成区,建成区,110100000000,北京,3.681682659106496,110105001
6524,"MULTIPOLYGON (((116.449735572323 39.89342124911815, 116.44982334501526 39.89761834072664, 116.45541596496139 39.8975537462685, 116.45540100954508 39.89588735198868, 116.45529870255541 39.892099583532456, 116.45211478370913 39.89218272237349, 116.45210991765225 39.893435268005874, 116.449735572323 39.89342124911815)))",643.0,富力社区,643.0,110105016000,0.580827236553192,110105000,朝阳区,双井街道,双井,"劲松,广渠门",四环内,5101.484808675549,1.0,110105001,朝阳区建成区,建成区,110100000000,北京,2.980378561171519,110105001
6526,"MULTIPOLYGON (((116.46114837981827 39.895813637692584, 116.45718934659135 39.895875829525096, 116.45715898816638 39.895502473239276, 116.4567146532537 39.89550430924106, 116.4567379940006 39.895869736368695, 116.45628665620029 39.895886616543294, 116.45628638590858 39.895529052294535, 116.45580396782157 39.89556900990664, 116.45582728453758 39.895888552925044, 116.45540100954508 39.89588735198879, 116.4554159649615 39.897553746268386, 116.45551155036014 39.90265180079825, 116.46135002271035 39.902980320666586, 116.46117271406172 39.89915544068748, 116.46114837981827 39.895813637692584)))",90601.0,黄木厂社区,90601.0,110105016000,0.967865432794213,110105000,朝阳区,双井街道,"CBD,双井",大望路,四环内,6187.598181156298,1.0,110105001,朝阳区建成区,建成区,110100000000,北京,3.220005292304227,110105001
6529,"MULTIPOLYGON (((116.48372764028204 39.89591740442114, 116.48362270875907 39.89191183084216, 116.47666365304906 39.891875300060576, 116.4714487303595 39.8919251740258, 116.47148767378644 39.89349405751847, 116.47665072644418 39.893462741911435, 116.47663141649537 39.89583276038627, 116.48372764028204 39.89591740442114)))",90604.0,茂兴社区,90604.0,110105016000,0.352545471326828,110105000,朝阳区,双井街道,大望路,,四环内,7198.526203386679,1.0,110105001,朝阳区建成区,建成区,110100000000,北京,4.185595864027055,110105001
6525,"MULTIPOLYGON (((116.45211478370925 39.892182722373775, 116.4499741387882 39.89217980065314, 116.44965778865492 39.892182976870686, 116.44962725422272 39.89245256535571, 116.4497355723231 39.89342124911826, 116.45210991765236 39.89343526800616, 116.45211478370925 39.892182722373775)), ((116.4427910185891 39.898904957562365, 116.44283646849783 39.89801867744359, 116.44175832528003 39.897963008190345, 116.44199403674486 39.895983708673214, 116.44202203918258 39.89516434731951, 116.44081257096457 39.895044052398816, 116.44079347827801 39.895197934958446, 116.44081293997158 39.8954337161731, 116.44075999472909 39.89565014291827, 116.44073181235979 39.89569482270559, 116.44063037449826 39.89651177037547, 116.44060791608467 39.898543419431405, 116.44040450104285 39.89854892116574, 116.44038498552754 39.89868494707059, 116.43970211230726 39.89865525834642, 116.43968279749026 39.89952126912152, 116.4397842220369 39.89958311417979, 116.4406020207814 39.89966986079787, 116.4416834588385 39.89973501376517, 116.4417501223337 39.8989470688079, 116.4427910185891 39.898904957562365)))",638.0,双花园社区,638.0,110105016000,0.136441519302785,110105000,朝阳区,双井街道,双井,"劲松,广渠门",三环内,4777.038101228619,1.0,110105001,朝阳区建成区,建成区,110100000000,北京,2.833488233742538,110105001
